"Picked","RadiusAverageRMS","AxisRatio","Compactness","TotalArea"
"False",0.695,0.065,0.181,0.384
"False",0.112,0.215,0.461,0.028
"False",0.101,0.509,0.713,0.026
"False",0.121,0.264,0.586,0.034
"False",0.719,0.064,0.148,0.342
"False",0.86,0.017,0.055,0.176
"False",0.106,0.181,0.323,0.015
"False",0.243,0.151,0.278,0.11
"False",0.141,0.482,0.685,0.052
"False",0.128,0.612,0.772,0.045
"False",0.133,0.726,0.859,0.051
"False",0.117,0.217,0.301,0.033
"False",0.114,0.267,0.546,0.032
"False",0.123,0.516,0.58,0.04
"False",0.244,0.159,0.391,0.095
"False",0.102,0.308,0.336,0.018
"False",0.164,0.243,0.436,0.045
"False",0.09,0.424,0.601,0.02
"False",0.113,0.298,0.579,0.029
"False",0.31,0.522,0.663,0.289
"False",0.302,0.066,0.195,0.068
"False",0.124,0.422,0.577,0.039
"False",0.127,0.302,0.575,0.037
"False",0.115,0.256,0.563,0.029
"False",0.154,0.257,0.538,0.05
"False",0.086,0.403,0.629,0.016
"False",0.31,0.07,0.158,0.296
"False",0.111,0.354,0.64,0.029
"False",0.122,0.194,0.308,0.018
"False",0.205,0.261,0.596,0.124
"False",0.1,0.425,0.556,0.025
"False",0.088,0.789,0.809,0.021
"False",0.093,0.416,0.472,0.022
"False",0.099,0.343,0.543,0.022
"False",0.113,0.187,0.363,0.018
"False",0.131,0.286,0.528,0.035
"False",0.129,0.177,0.361,0.024
"False",0.445,0.053,0.118,0.099
"False",0.395,0.045,0.118,0.08
"False",0.277,0.172,0.4,0.125
"False",0.321,0.156,0.446,0.205
"False",0.211,0.849,0.873,0.131
"False",0.098,0.293,0.578,0.019
"False",0.107,0.475,0.662,0.028
"False",0.118,0.189,0.421,0.021
"False",0.098,0.292,0.52,0.022
"False",0.09,0.318,0.624,0.021
"False",0.114,0.287,0.484,0.022
"False",0.109,0.356,0.598,0.026
"False",0.087,0.425,0.719,0.018
"False",0.086,0.366,0.584,0.018
"False",0.194,0.766,0.832,0.111
"False",0.116,0.13,0.329,0.017
"False",0.215,0.808,0.868,0.136
"False",0.116,0.206,0.472,0.024
"False",0.231,0.28,0.132,0.071
"False",0.09,0.236,0.461,0.014
"False",0.096,0.382,0.587,0.022
"False",0.096,0.212,0.39,0.015
"False",0.219,0.839,0.846,0.142
"False",0.151,0.263,0.486,0.044
"False",0.195,0.192,0.363,0.052
"False",0.119,0.211,0.439,0.025
"False",0.132,0.259,0.471,0.038
"False",0.109,0.365,0.64,0.029
"False",0.133,0.648,0.833,0.05
"False",0.191,0.691,0.821,0.106
"False",0.149,0.175,0.407,0.052
"False",0.123,0.265,0.528,0.038
"False",0.207,0.839,0.893,0.126
"False",0.09,0.467,0.723,0.021
"False",0.186,0.786,0.865,0.102
"False",0.153,0.113,0.236,0.022
"False",0.31,0.747,0.771,0.287
"False",0.278,0.575,0.606,0.232
"False",0.121,0.543,0.719,0.039
"False",0.206,0.829,0.882,0.125
"False",0.104,0.49,0.673,0.027
"False",0.125,0.486,0.681,0.039
"False",0.114,0.413,0.678,0.032
"False",0.28,0.233,0.495,0.163
"False",0.257,0.205,0.489,0.128
"False",0.34,0.11,0.429,0.223
"False",0.114,0.719,0.842,0.036
"False",0.133,0.623,0.803,0.05
"False",0.201,0.522,0.797,0.116
"False",0.212,0.845,0.865,0.131
"False",0.183,0.875,0.878,0.098
"False",0.153,0.809,0.856,0.069
"False",0.191,0.12,0.18,0.026
"False",0.173,0.833,0.871,0.087
"False",0.09,0.534,0.764,0.021
"False",0.191,0.46,0.726,0.102
"False",0.084,0.511,0.61,0.018
"False",0.699,0.08,0.195,0.408
"False",0.109,0.289,0.579,0.027
"False",0.179,0.833,0.853,0.092
"False",0.117,0.391,0.567,0.032
"False",0.096,0.29,0.51,0.02
"False",0.125,0.173,0.342,0.028
"False",0.14,0.221,0.28,0.035
"False",0.123,0.197,0.426,0.025
"False",0.115,0.436,0.58,0.035
"False",0.092,0.475,0.681,0.02
"False",0.162,0.818,0.862,0.075
"False",0.093,0.455,0.632,0.02
"False",0.121,0.314,0.502,0.035
"False",0.104,0.485,0.616,0.027
"False",0.206,0.841,0.847,0.124
"False",0.59,0.076,0.205,0.322
"False",0.333,0.157,0.453,0.216
"False",0.276,0.077,0.353,0.236
"False",0.092,0.689,0.802,0.022
"False",0.103,0.268,0.423,0.018
"False",0.083,0.729,0.829,0.018
"False",0.087,0.296,0.498,0.014
"False",0.086,0.245,0.429,0.012
"False",0.11,0.457,0.619,0.033
"False",0.102,0.354,0.573,0.025
"False",0.115,0.72,0.84,0.038
"False",0.11,0.268,0.594,0.03
"False",0.113,0.263,0.524,0.027
"False",0.145,0.161,0.287,0.035
"False",0.1,0.295,0.569,0.022
"False",0.115,0.341,0.567,0.032
"False",0.106,0.537,0.717,0.031
"False",0.169,0.176,0.312,0.066
