ActualX;ActualY;Area;AxisRatio;Block;Compactness;DepositBarcode;DepositWell;EdgeExcluded;FeatureID;Group;ImageColumn;ImageRow;IntensitySD;ManualGroup;MeanCentreIntensity;MeanIntensity;MedianIntensity;Perimeter;Picked;Proximity;RadiusAverageRMS;RadiusMax;RadiusMin;SaturatedPercentage;SaturatedPixels;Selected;SourceBarcode;SourceWell;TotalArea;VolumeEquivalent;WellIndex
22.434;11.713;0.009;0.670;1;0.719;Auto636602563526406250;F5;False;12;Accept;0;0;5,325.629;False;9,374.778;6,038.917;11,941;0.407;True;1.770;0.064;0.076;0.051;0.000;0;False;Auto636602544972812500;A1;0.009;0.001;1
34.536;13.698;0.029;0.752;2;0.798;Auto636602563526406250;E5;False;65;Accept;1;0;17,309.006;False;46,040.556;33,319.703;44,188;0.679;True;1.452;0.104;0.120;0.090;0.000;0;False;Auto636602544972812500;A1;0.029;0.004;1
28.977;13.949;0.011;0.699;2;0.775;Auto636602563526406250;B6;False;67;Accept;1;0;14,256.897;False;26,494.444;21,171.357;32,453;0.424;True;1.452;0.067;0.080;0.056;0.000;0;False;Auto636602544972812500;A1;0.011;0.001;1
33.387;14.811;0.020;0.657;2;0.793;Auto636602563526406250;H5;False;79;Accept;1;0;11,238.649;False;27,887.889;19,232.760;27,172;0.560;True;1.452;0.087;0.097;0.064;0.000;0;False;Auto636602544972812500;A1;0.020;0.002;1
57.275;10.927;0.013;0.761;3;0.786;Auto636602563526406250;H4;False;138;Accept;2;0;11,815.188;False;24,466.000;16,337.000;27,239;0.464;True;2.571;0.073;0.081;0.062;0.000;0;False;Auto636602544972812500;A2;0.013;0.001;2
18.356;19.342;0.009;0.949;7;0.809;Auto636602563526406250;A6;False;447;Accept;0;1;8,907.817;False;12,998.333;9,321.583;18,959;0.384;True;1.830;0.063;0.063;0.060;0.000;0;False;Auto636602544972812500;A1;0.009;0.001;1
112.032;18.500;0.009;0.949;12;0.809;Auto636602563526406250;F4;False;767;Accept;5;1;10,695.234;False;14,831.333;10,657.333;22,519;0.384;True;1.096;0.063;0.063;0.060;0.000;0;False;Auto636602544972812500;A3;0.009;0.001;3
29.040;31.396;0.033;0.748;14;0.824;Auto636602563526406250;G5;False;977;Accept;1;2;14,441.147;False;39,672.333;27,083.452;36,699;0.712;True;1.098;0.109;0.122;0.091;0.000;0;False;Auto636602544972812500;A1;0.033;0.005;1
57.097;30.113;0.081;0.801;15;0.844;Auto636602563526406250;B5;False;1,017;Accept;2;2;10,563.381;False;30,687.444;19,915.618;25,293;1.096;True;4.537;0.166;0.180;0.144;0.000;0;False;Auto636602544972812500;A2;0.081;0.017;2
61.831;33.469;0.010;0.781;15;0.805;Auto636602563526406250;C5;False;1,026;Accept;2;2;9,454.213;False;18,957.444;13,676.000;21,02;0.401;True;1.125;0.064;0.075;0.059;0.000;0;False;Auto636602544972812500;A2;0.010;0.001;2
